projeto,proponente,valor_autorizado,valor_captado,patrocinador,aportes,fonte_url,fonte_pagina
26º Festival de Inverno da Sanfona e da Viola de São Pedro do Itabapoana,Associação dos Moradores da Comunidade de São Pedro do Itabapoana,500000,250000,EDP Espírito Santo Distribuição de Energia S.A,28.152.650/0001-71|EDP Espírito Santo Distribuição de Energia S.A|250000,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1
#EP10 - ENCONTRO DAS PRETAS 10 ANOS,INSTITUTO DAS PRETAS.ORG,499999.84,499999.84,EDP Espírito Santo Distribuição de Energia S.A,28.152.650/0001-71|EDP Espírito Santo Distribuição de Energia S.A|499999.84,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1
BOA VISTA CARNAVAL CAPIXABA 2025,GRÊMIO RECREATIVO CULTURAL ESPORTIVO SOCIAL ESCOLA DE SAMBA IDEPENDENTE DE BOA VISTA,492000,492000,Realmar Distribuidora Ltda,03.845.717/0001-22|Realmar Distribuidora Ltda|492000,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1
207ª FESTA DO DIVINO ESPÍRITO SANTO DE VIANA-ES,LEONARDO CAETANO EIRELI ME,358109.86,249369.98,"Perfil Alumínio do Brasil S/A; Distribuidora Pomar; L&A DISTRIBUIDORA DE ALIMENTOS E EMBALAGENS","05.069.718/0003-10|Perfil Alumínio do Brasil S/A|119369.98; 02.689.900/0001-13|Distribuidora Pomar|50000; 03.380.787/0002-33|L&A DISTRIBUIDORA DE ALIMENTOS E EMBALAGENS|80000",https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1
14ª Festa Folclórica de Santo Antônio do Muqui,Associação Oficina da Vida - ONG,331937.73,331937.73,EDP Espírito Santo Distribuição de Energia S.A,28.152.650/0001-71|EDP Espírito Santo Distribuição de Energia S.A|331937.73,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1
“Carna Surpresa 2024 - O Carnaval da Barra do Jucu”,Associação Cultural e Folclórica do Bloco Surpresa,499972.41,499972.41,"Perfil Alumínio do Brasil S/A; A.S. Materiais de Construção Ltda; Realmar Distribuidora Ltda; Realmar Distribuidora Ltda","05.069.718/0003-10|Perfil Alumínio do Brasil S/A|200000; 31.819.139/0001-95|A.S. Materiais de Construção Ltda|50000; 03.845.717/0035-71|Realmar Distribuidora Ltda|100000; 03.845.717/0040-39|Realmar Distribuidora Ltda|149972.41",https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1
Carnaval Folclórico do Boi Pintadinho de Muqui/ES - 2025,ASSOCIACAO COMERCIAL E EMPRESARIAL DE MUQUI - ACE MUQUI,500000,500000,EDP Espírito Santo Distribuição de Energia S.A,28.152.650/0001-71|EDP Espírito Santo Distribuição de Energia S.A|500000,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1
24º Festival Nacional de Teatro de Guaçuí,"Grupo Teatral Gota, Pó e Poeira",229781.52,100832.97,"Mundo Distribuidora de Cosméticos LTDA; Distribuidora Mascote LTDA","09.492.311/0001-90|Mundo Distribuidora de Cosméticos LTDA|44308.24; 07.548.056/0001-24|Distribuidora Mascote LTDA|56524.73",https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1
Baile Voador: ressaca do carnaval 2023,SAGUI PRODUÇÕES E EVENTOS LTDA,500000,500000,AMBEV S.A. CDD VITÓRIA,07.526.557/0011-81|AMBEV S.A. CDD VITÓRIA|500000,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1
Raiar da Liberdade,Associação de Salvaguarda do Patrimônio Imaterial Cachoeirense,239751.08,239751.08,Antônio Auto Peças S/A,27.340.074/0008-08|Antônio Auto Peças S/A|239751.08,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1
97ª Festa de São Pedro - Edição 2025,Colônia de Pescadores e Aquicultores Z-5 Maria Ortiz,500000,500000,"REALMAR DISTRIBUIDORA LTDA; Kuruma Veiculos S.A.","03.845.717/0001-22|REALMAR DISTRIBUIDORA LTDA|250000; 00.827.783/0001-81|Kuruma Veiculos S.A.|250000",https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1
Festival Nacional de Teatro Cidade de Vitória - 20º Edição,Associação Cultural Circense e Ambiental Uma Floresta,500000,500000,Transportadora Associada de Gás - TAG,06.248.349/0004-76|Transportadora Associada de Gás - TAG|500000,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,1
47ª Festa da Polenta,Associação Festa da Polenta - AFEPOL,500000,500000,ITAPOA SUPERMERCADO LTDA,06.955.576/0001-99|ITAPOA SUPERMERCADO LTDA|500000,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2
l FESTIVAL INTERNACIONAL DE JAZZ E BOSSA DE SANTA TERESA – 12ª EDIÇÃO,ROTA SERVICE LTDA,500000,500000,"Kurumá Veiculos S.A; Realmar Distribuidora Ltda","00.827.783/0020-44|Kurumá Veiculos S.A|250000; 03.845.717/0001-22|Realmar Distribuidora Ltda|250000",https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2
10º Festival Nacional de Cinema Ambiental do Espírito Santo - CINE.EMA,Caju Produções LTDA ME,500000,480000,TRANSPORTADORA ASSOCIADA DE GAS S.A. - TAG,06.248.349/0004-76|TRANSPORTADORA ASSOCIADA DE GAS S.A. - TAG|480000,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2
73º Encontro Nacional de Folias de Reis - Muqui-ES - 2024,ASSOCIACAO COMERCIAL E EMPRESARIAL DE MUQUI - ACE MUQUI,500000,500000,EDP Espírito Santo Distribuição de Energia S.A,28.152.650/0001-71|EDP Espírito Santo Distribuição de Energia S.A|500000,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2
Roda de Boteco 2025,Conexxo Serviços e Gestão de Eventos,500000,500000,AMBEV S.A. CDD VITÓRIA,07.526.557/0011-81|AMBEV S.A. CDD VITÓRIA|500000,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2
13ª ITALIA UNITA – Festa da Imigração Italiana de Aracruz - Município de Guaraná,(Em análise na SEFAZ) Secretariado dos Imigrantes Friulanos de Aracruz-ES,426123,356135.99,"Imetame Metalmecãnica LTDA; Comercial Devens LTDA; Comercial Devens LTDA; Oriundi Supermercados LTDA","31.790.710/0001-96|Imetame Metalmecãnica LTDA|150000; 31.759.699/0003-63|Comercial Devens LTDA|61123; 31.759.699/0001-00|Comercial Devens LTDA|65000; 27.555.390/0001-12|Oriundi Supermercados LTDA|80012.99",https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2
MAIS CULTURA NAS ESCOLAS,"ES Práticas Corporais, Culturais, Esportivas e de Saúde LTDA",499896,499896,EDP Espírito Santo Distribuição de Energia S.A,28.152.650/0001-71|EDP Espírito Santo Distribuição de Energia S.A|499896,https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2
A Fantástica Carpintaria - Programa Educativo,CIDADE QUINTAL SERVIÇOS DE DESIGN E ARTE URBANA LTDA,500000,500000,"VD Comercio de Veiculos LTDA; VD Comercio de Veiculos LTDA; VM Comercio de Automoveis LTDA","39.786.983/0001-79|VD Comercio de Veiculos LTDA|250000; 39.786.983/0004-11|VD Comercio de Veiculos LTDA|173000; 11.277.336/0001-12|VM Comercio de Automoveis LTDA|77000",https://secult.es.gov.br/Media/secult/LICC/RECURSO%20FINANCEIRO%20CAPTADO%20-%202025.pdf,2
