numero_processo,projeto,proponente,municipio,valor_autorizado,valor_total,status,enquadramento,fonte_url,fonte_pagina
2025-V9F70,Projeto Cultural Tecer Folias - Ano II,Associação Oficina da Vida - ONG.,Vitória,500000,500000,em_execucao,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,7
2025-75FLW,Projeto Cultural Eterno Aprendiz,Associação Oficina da Vida - ONG.,Vitória,499600,499600,captando,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,7
2025-7QZ1X,Vai Dar Samba - 5ª Edição,Associação Oficina da Vida - ONG,"Cachoeiro de Itapemirim; Mimoso do Sul",498800,498800,captando,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,7
2025-0G2ZD,ATILIO FOLIA - Carnaval Cultural de Atílio Vivácqua,G ABREU TURISMO E CULTURA LTDA,Atílio Vivacqua,489267,489267,concluido,cota-continuados,https://secult.es.gov.br/lista-de-projetos-habilitados,7
2025-FXX9C,A Trupe Barroca - Uma Nova Música Antiga 2026,WS Projetos Criativos LTDA,,499581.98,499581.98,em_execucao,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,7
2025-QXK9H,Filarmônica de Mulheres do Espirito Santo - Natal Iluminado,Instituto Todos os Cantos,,248506,248506,em_execucao,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,7
2025-1MT75,R2R Música Para Todos 2,Instituto Viva Vida,"Vitória; Serra; Cariacica; Vila Velha",500000,500000,em_execucao,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,7
2025-WV98F,XXXV Festa Do Imigrante Italiano De Santa Teresa,Circolo Trentino di Santa Teresa,Santa Teresa,500000,889480,em_execucao,cota-pautados,https://secult.es.gov.br/lista-de-projetos-habilitados,7
2025-0RV3W,Festival Nacional de Forró de Itaúnas,Fernanda Lima Garcia Eventos,Itaúnas,500000,500000,em_execucao,cota-pautados,https://secult.es.gov.br/lista-de-projetos-habilitados,7
2025-R0CZP,Biblioteca Itinerante Vila Quilombo,Paris Serviços E Treinamentos LTDA,Vargem Alta,479932,479832,em_execucao,cota-fora-rmgv,https://secult.es.gov.br/lista-de-projetos-habilitados,7
2025-FZTLW,Centro Cultural Canela Verde Cultura E Arte,Ananda Lugon Bourguignon,Vila Velha,161991.2,161991.2,captando,cota-demais,https://secult.es.gov.br/lista-de-projetos-habilitados,7
